Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"18,594",144.8,0.06273
2,NEW ENGLAND JOURNAL OF MEDICINE,"268,652",55.873,0.67634
3,CHEMICAL REVIEWS,"137,600",46.568,0.22401
4,LANCET,"185,361",45.217,0.39555
5,NATURE REVIEWS DRUG DISCOVERY,"23,811",41.908,0.06017
6,NATURE BIOTECHNOLOGY,"45,986",41.514,0.14914
7,NATURE,"617,363",41.456,1.49869
8,Annual Review of Immunology,"16,750",39.327,0.04556
9,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"35,928",37.806,0.11242
10,NATURE REVIEWS CANCER,"39,868",37.4,0.10009
11,NATURE REVIEWS GENETICS,"29,388",36.978,0.11684
12,NATURE MATERIALS,"64,622",36.503,0.19755
13,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"126,479",35.289,0.26099
14,NATURE REVIEWS IMMUNOLOGY,"28,938",34.985,0.09492
15,Nature Nanotechnology,"34,387",34.048,0.15276
16,SCIENCE,"557,558",33.611,1.22204
17,CHEMICAL SOCIETY REVIEWS,"81,907",33.383,0.25235
18,Annual Review of Astronomy and Astrophysics,"8,462",33.346,0.02538
19,Nature Photonics,"23,499",32.386,0.1294
20,CELL,"201,108",32.242,0.57703
21,NATURE METHODS,"32,342",32.072,0.17279
22,NATURE REVIEWS NEUROSCIENCE,"32,989",31.427,0.08289
23,Annual Review of Biochemistry,"19,927",30.283,0.04392
24,REVIEWS OF MODERN PHYSICS,"39,402",29.604,0.12369
25,NATURE GENETICS,"85,481",29.352,0.25783
26,NATURE MEDICINE,"62,572",28.223,0.1629
27,PROGRESS IN MATERIALS SCIENCE,"8,475",27.417,0.01556
28,PHYSIOLOGICAL REVIEWS,"24,528",27.324,0.03827
29,PROGRESS IN POLYMER SCIENCE,"19,454",26.932,0.03159
30,Nature Chemistry,"16,973",25.325,0.09468
31,LANCET ONCOLOGY,"24,861",24.69,0.10174
